工单编号,提交时间,状态,问题描述,回复时间
T001,2026-03-19 09:15:00,待处理,用户反馈无法登录系统,,2026-03-19 09:20:00
T002,2026-03-19 09:30:00,已解决,订单支付失败需要退款,2026-03-19 09:35:00
T003,2026-03-19 10:00:00,处理中,门店营业时间如何修改,,2026-03-19 11:30:00
T004,2026-03-19 10:15:00,已解决,商品库存如何调整,2026-03-19 10:20:00
T005,2026-03-19 10:45:00,待处理,优惠券无法正常使用,,2026-03-19 12:00:00
T006,2026-03-19 11:00:00,已解决,顾客给差评如何回复,2026-03-19 11:10:00
T007,2026-03-19 11:30:00,处理中,想查看昨天的销售报表,,2026-03-19 12:00:00
T008,2026-03-19 13:00:00,已解决,新商品如何上架,2026-03-19 13:05:00
T009,2026-03-19 14:00:00,待处理,账号权限需要调整,,2026-03-19 15:30:00
T010,2026-03-19 14:30:00,已解决,门店地址信息需要更新,2026-03-19 14:35:00
